DATA;LOCAL;TIME CASA;PLACAR;TIME VISITANTE
17/01/2019 - 19:00;HEBRAICA;FLUMINENSE F.C.;1|3;ESPORTE CLUBE PINHEIROS
18/01/2019 - 19:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|0;VOLEI BALNEARIO CAMBORIU
18/01/2019 - 19:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|1;SAO CRISTOVAO SAUDE SAO CAETANO
18/01/2019 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;1|3;SESC RJ
18/01/2019 - 20:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;BRB/BRASILIA VOLEI
18/01/2019 - 21:30;JOSE CORREA;HINODE BARUERI;3|0;SESI VOLEI BAURU
25/01/2019 - 19:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;0|3;DENTIL/PRAIA CLUBE
25/01/2019 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|2;OSASCO VOLEIBOL CLUBE/AUDAX
25/01/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;2|3;FLUMINENSE F.C.
25/01/2019 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;1|3;MINAS TENIS CLUBE
25/01/2019 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;0|3;SESC RJ
25/01/2019 - 21:30;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;3|2;HINODE BARUERI
29/01/2019 - 19:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|2;BRB/BRASILIA VOLEI
29/01/2019 - 19:30;JOSE CORREA;HINODE BARUERI;3|1;FLUMINENSE F.C.
29/01/2019 - 19:30;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;SESI VOLEI BAURU
29/01/2019 - 20:00;TIJUCA TENIS CLUBE;SESC RJ;3|0;SAO CRISTOVAO SAUDE SAO CAETANO
29/01/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;3|2;CURITIBA VÔLEI
29/01/2019 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;0|3;OSASCO VOLEIBOL CLUBE/AUDAX
05/02/2019 - 19:00;PANELA DE PRESSAO;SESI VOLEI BAURU;1|3;SESC RJ
05/02/2019 - 19:30;JOSE CORREA;HINODE BARUERI;3|0;VOLEI BALNEARIO CAMBORIU
05/02/2019 - 20:00;PRAIA CLUBE;DENTIL/PRAIA CLUBE;1|3;SAO CRISTOVAO SAUDE SAO CAETANO
05/02/2019 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;0|3;CURITIBA VÔLEI
05/02/2019 - 21:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;ESPORTE CLUBE PINHEIROS
12/03/2019 - 20:00;HEBRAICA;FLUMINENSE F.C.;0|3;OSASCO VOLEIBOL CLUBE/AUDAX
08/02/2019 - 19:00;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|0;SESI VOLEI BAURU
08/02/2019 - 20:00;TIJUCA TENIS CLUBE;SESC RJ;3|0;ESPORTE CLUBE PINHEIROS
08/02/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;1|3;BRB/BRASILIA VOLEI
08/02/2019 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;3|0;CURITIBA VÔLEI
08/02/2019 - 20:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;FLUMINENSE F.C.
08/02/2019 - 21:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|0;HINODE BARUERI
11/02/2019 - 20:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|1;ESPORTE CLUBE PINHEIROS
12/02/2019 - 19:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|1;HINODE BARUERI
12/02/2019 - 19:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;3|0;VOLEI BALNEARIO CAMBORIU
12/02/2019 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|0;CURITIBA VÔLEI
12/02/2019 - 20:00;HEBRAICA;FLUMINENSE F.C.;0|3;SESC RJ
12/02/2019 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;3|1;BRB/BRASILIA VOLEI
